0.461	 0.0444989	 0.000557367               0.0449779	 0.00241805            0.0473249	 0.00832391 
0.462	 0.0444118	 0.000586399               0.0449133	 0.00251098            0.0472407	 0.0083525  
0.463	 0.0443247	 0.000614335               0.0448473	 0.0025988             0.0471234	 0.00830965 
0.464	 0.0442379	 0.000643942               0.0447831	 0.00269113            0.0470052	 0.00826448 
0.465	 0.0441521	 0.000677292               0.0447233	 0.00279662            0.0469819	 0.0084245  
0.466	 0.044092	 0.000706966               0.0446866	 0.00288959            0.0469875	 0.00858639 
0.467	 0.0440184	 0.000734754               0.0446324	 0.00296906            0.0469811	 0.00875165 
0.468	 0.0439573	 0.000758678               0.0445878	 0.00303666            0.0469914	 0.00892207 
0.469	 0.0439227	 0.00078285                0.0445709	 0.00310697            0.0469581	 0.00894021 
0.47	 0.0438749	 0.000806359       0.0445405	 0.00317641            0.0469464	 0.00903401         
0.471	 0.0438388	 0.000822953               0.0445162	 0.0032234             0.0469486	 0.00912722 
0.472	 0.0437898	 0.000840607               0.0444797	 0.00327396            0.0469375	 0.00922193 
0.473	 0.043754	 0.00085815                0.0444586	 0.00333048            0.0469784	 0.00939608 
0.474	 0.0437181	 0.000875244               0.0444369	 0.00338472            0.0469819	 0.00949153 
0.475	 0.0436819	 0.000890806               0.0444142	 0.00343602            0.0470236	 0.00966621 
0.476	 0.0436588	 0.000905882               0.0444043	 0.0034851             0.0470811	 0.00984374 
0.477	 0.0436241	 0.000928114               0.044392	 0.00356615            0.0470446	 0.0098555  
0.478	 0.0435896	 0.000951127               0.0443795	 0.00364613            0.0470081	 0.00986707 
0.479	 0.043555	 0.000973307               0.0443659	 0.00372234            0.0469721	 0.00987978 
0.48	 0.0435086	 0.00100139        0.0443457	 0.00381735            0.0469243	 0.00989705         
0.481	 0.0434645	 0.00103989                0.0443385	 0.00394847            0.0470402	 0.0102519  
0.482	 0.0433963	 0.0010872                 0.0443169	 0.00411287            0.0471385	 0.0106252  
0.483	 0.0433297	 0.00114084                0.044301	 0.00429129            0.0472455	 0.0110128  
0.484	 0.0432404	 0.00120874                0.0442749	 0.00451278            0.0472874	 0.0113237  
0.485	 0.0431546	 0.00129018                0.0442661	 0.00477724            0.0472849	 0.0115449  
0.486	 0.0430341	 0.00138947                0.0442402	 0.0050989             0.0472466	 0.0117791  
0.487	 0.042906	 0.00150799                0.0442262	 0.00548022            0.0471983	 0.0120211  
0.488	 0.0427725	 0.00165369                0.0442332	 0.00594133            0.04714	 0.0122711          
0.489	 0.0426092	 0.00183149                0.0442438	 0.00650105            0.0472137	 0.0128622  
0.49	 0.0424421	 0.00203804        0.0442796	 0.0071413             0.0469998	 0.0129193          
0.491	 0.0422597	 0.00227687                0.0443356	 0.00787746            0.0470541	 0.0135528  
0.492	 0.042066	 0.00255933                0.0444217	 0.0087267             0.0470385	 0.0141038  
0.493	 0.041863	 0.00288856                0.04455	 0.00970952            0.0470784	 0.014813        
0.494	 0.0416641	 0.00326232                0.044731	 0.0108117             0.0469857	 0.015296   
0.495	 0.0414632	 0.00369876                0.0449677	 0.0120623             0.0469501	 0.0159409  
0.496	 0.0412755	 0.00420006                0.0452876	 0.0134812             0.0469182	 0.0166184  
0.497	 0.041107	 0.00477808                0.0457018	 0.0150811             0.0468093	 0.0171795  
0.498	 0.0409609	 0.00543717                0.046213	 0.0168589             0.0471315	 0.0185605  
0.499	 0.0408376	 0.00617301                0.0468082	 0.0187834             0.0475152	 0.020065   
0.5	 0.040749	 0.0070121         0.047522	 0.0209126             0.0478604	 0.021514           
0.501	 0.0406963	 0.00795126                0.0483575	 0.023245              0.0482627	 0.0230797  
0.502	 0.0407024	 0.00900794                0.049353	 0.0258131             0.0491362	 0.025444   
0.503	 0.0407713	 0.0101853                 0.0505111	 0.0286129             0.0503398	 0.0283283  
0.504	 0.040899	 0.0114982                 0.0518335	 0.0316666             0.0514273	 0.0310054  
0.505	 0.041113	 0.012941                  0.0533369	 0.0349412             0.0527166	 0.0339518  
0.506	 0.0414198	 0.0145505                 0.0550611	 0.0385191             0.0537854	 0.0365194  
0.507	 0.0418488	 0.0163204                 0.0570252	 0.0423653             0.0550238	 0.0392822  
0.508	 0.0423695	 0.0182383                 0.0591591	 0.0464201             0.056165	 0.0418778  
0.509	 0.043028	 0.0203318                 0.0615428	 0.0507422             0.0577417	 0.0450703  
