#  C1: wavelength(nm)  
#  C2: refraction index
#  C3: absorption by dry matter (Km (g.cm-2))
#  C4: absorption by chlorophyll a and b and carotenoids (kab (µg.cm-2))
#  C5: absorption by water (kw (cm-1=g.cm-2))
#  C6: absorption by brown pigments (relative units)

400.000         1.515721	104.684210	0.047207	0.000000	0.527183
502.000000	1.487654	6.191034	0.023022	0.000000	0.412663
503.000000	1.487477	6.170366	0.021949	0.000000	0.411789
504.000000	1.487300	6.149698	0.021071	0.000000	0.410914
505.000000	1.487107	6.130226	0.020193	0.000000	0.410039
506.000000	1.486914	6.110755	0.019463	0.000000	0.409165
507.000000	1.486707	6.091325	0.018734	0.000000	0.408290
508.000000	1.486500	6.071896	0.018105	0.000000	0.407415
509.000000	1.486282	6.052508	0.017477	0.000000	0.406541
510.000000	1.486064	6.033121	0.016710	0.000000	0.405666
511.000000	1.485832	6.013776	0.015944	0.000000	0.404718
512.000000	1.485600	5.994431	0.015295	0.000000	0.403769
513.000000	1.485353	5.975128	0.014645	0.000000	0.402821
514.000000	1.485105	5.955825	0.013967	0.000000	0.401872
515.000000	1.484852	5.936754	0.013289	0.000000	0.400924
516.000000	1.484600	5.917683	0.012711	0.000000	0.399976
517.000000	1.484352	5.898652	0.012133	0.000000	0.399027
518.000000	1.484104	5.879621	0.011632	0.000000	0.398079
519.000000	1.483852	5.860630	0.011132	0.000000	0.397131
520.000000	1.483600	5.841640	0.010693	0.000000	0.396182
521.000000	1.483333	5.822689	0.010254	0.000000	0.395234
522.000000	1.483067	5.803739	0.010021	0.000000	0.394286
523.000000	1.482783	5.784829	0.009788	0.000000	0.393337
524.000000	1.482500	5.765919	0.009571	0.000000	0.392389
525.000000	1.482202	5.745764	0.009354	0.000000	0.391441
526.000000	1.481904	5.725609	0.009222	0.000000	0.390492
527.000000	1.481602	5.705508	0.009089	0.000000	0.389544
528.000000	1.481300	5.685407	0.008963	0.000000	0.388595
529.000000	1.481002	5.665360	0.008836	0.000000	0.387647
530.000000	1.480703	5.645312	0.008836	0.000000	0.386699
531.000000	1.480402	5.625318	0.008796	0.000000	0.384564
532.000000	1.480100	5.605325	0.008755	0.000000	0.382430
533.000000	1.479785	5.585385	0.008716	0.000000	0.380295
534.000000	1.479470	5.565445	0.008676	0.000000	0.378161
535.000000	1.479135	5.546667	0.008587	0.000000	0.376026
536.000000	1.478800	5.527889	0.008499	0.000000	0.373892
537.000000	1.478446	5.509153	0.008413	0.000000	0.371757
538.000000	1.478093	5.490417	0.008328	0.000000	0.369623
539.000000	1.477746	5.471722	0.008263	0.000000	0.367488
540.000000	1.477400	5.453028	0.008199	0.000000	0.365354
541.000000	1.477080	5.434375	0.008136	0.000000	0.363931
542.000000	1.476759	5.415723	0.008073	0.000000	0.362508
543.000000	1.476430	5.397112	0.008014	0.000000	0.361085
544.000000	1.476100	5.378501	0.007956	0.000000	0.359662
545.000000	1.475729	5.360759	0.007899	0.000000	0.358240
546.000000	1.475359	5.343017	0.007842	0.000000	0.356817
547.000000	1.474979	5.325307	0.007784	0.000000	0.355394
548.000000	1.474600	5.307597	0.007727	0.000000	0.353971
549.000000	1.474247	5.289920	0.007671	0.000000	0.352548
550.000000	1.473893	5.272243	0.007615	0.000000	0.351125
551.000000	1.473547	5.254598	0.007619	0.000000	0.350025
552.000000	1.473200	5.236954	0.007623	0.000000	0.348925
553.000000	1.472834	5.219342	0.007627	0.000000	0.347825
554.000000	1.472469	5.201730	0.007631	0.000000	0.346725
555.000000	1.472084	5.183476	0.007695	0.000000	0.345624
556.000000	1.471700	5.165221	0.007759	0.000000	0.344524
557.000000	1.471304	5.147007	0.007824	0.000000	0.343424
558.000000	1.470908	5.128793	0.007890	0.000000	0.342324
559.000000	1.470504	5.110619	0.008008	0.000000	0.341224
560.000000	1.470100	5.092445	0.008126	0.000000	0.340124
561.000000	1.469694	5.074311	0.008249	0.000000	0.338338
562.000000	1.469288	5.056177	0.008371	0.000000	0.336553
563.000000	1.468894	5.038084	0.008533	0.000000	0.334768
564.000000	1.468500	5.019991	0.008694	0.000000	0.332983
565.000000	1.468126	5.002032	0.008863	0.000000	0.331198
566.000000	1.467752	4.984073	0.009032	0.000000	0.329413
567.000000	1.467376	4.966154	0.009204	0.000000	0.327628
568.000000	1.467000	4.948234	0.009376	0.000000	0.325842
569.000000	1.466601	4.930354	0.009557	0.000000	0.324057
570.000000	1.466202	4.912473	0.009557	0.000000	0.322272
571.000000	1.465801	4.894632	0.009738	0.000000	0.320232
572.000000	1.465400	4.876791	0.009909	0.000000	0.318191
573.000000	1.465020	4.858989	0.010080	0.000000	0.316150
574.000000	1.464639	4.841187	0.010259	0.000000	0.314110
575.000000	1.464270	4.823252	0.010438	0.000000	0.312069
576.000000	1.463900	4.805318	0.010546	0.000000	0.310029
577.000000	1.463527	4.787424	0.010654	0.000000	0.307988
578.000000	1.463155	4.769531	0.010765	0.000000	0.305948
579.000000	1.462777	4.751679	0.010876	0.000000	0.303907
580.000000	1.462400	4.733827	0.011057	0.000000	0.301866
581.000000	1.462022	4.716016	0.011237	0.000000	0.299893
582.000000	1.461643	4.698205	0.011426	0.000000	0.297919
583.000000	1.461272	4.680435	0.011615	0.000000	0.295946
584.000000	1.460900	4.662666	0.011752	0.000000	0.293972
585.000000	1.460543	4.645230	0.011889	0.000000	0.291999
586.000000	1.460186	4.627795	0.012031	0.000000	0.290025
587.000000	1.459843	4.610397	0.012173	0.000000	0.288052
588.000000	1.459500	4.592999	0.012219	0.000000	0.286078
589.000000	1.459169	4.575639	0.012265	0.000000	0.284105
590.000000	1.458839	4.558279	0.012312	0.000000	0.282131
591.000000	1.458519	4.540957	0.012358	0.000000	0.280274
592.000000	1.458200	4.523634	0.012421	0.000000	0.278417
593.000000	1.457893	4.506349	0.012484	0.000000	0.276560
594.000000	1.457585	4.489065	0.012548	0.000000	0.274703
595.000000	1.457293	4.471764	0.012612	0.000000	0.272845
596.000000	1.457000	4.454464	0.012734	0.000000	0.270988
597.000000	1.456723	4.437201	0.012857	0.000000	0.269131
598.000000	1.456446	4.419939	0.012982	0.000000	0.267274
599.000000	1.456173	4.402715	0.013108	0.000000	0.265417
600.000000	1.455900	4.385491	0.013254	0.000000	0.263560
601.000000	1.455622	4.368306	0.013399	0.000000	0.261830
602.000000	1.455343	4.351120	0.013550	0.000000	0.260100
603.000000	1.455072	4.333973	0.013701	0.000000	0.258371
604.000000	1.454800	4.316826	0.013866	0.000000	0.256641
605.000000	1.454547	4.299404	0.014030	0.000000	0.254912
606.000000	1.454294	4.281983	0.014202	0.000000	0.253182
607.000000	1.454047	4.264605	0.014373	0.000000	0.251452
608.000000	1.453800	4.247226	0.014633	0.000000	0.249723
609.000000	1.453547	4.229890	0.014892	0.000000	0.247993
610.000000	1.453294	4.212553	0.015168	0.000000	0.246263
611.000000	1.453047	4.195260	0.015168	0.000000	0.244658
612.000000	1.452800	4.177966	0.015445	0.000000	0.243052
613.000000	1.452572	4.160715	0.015632	0.000000	0.241447
614.000000	1.452343	4.143463	0.015820	0.000000	0.239841
615.000000	1.452122	4.126702	0.016016	0.000000	0.238236
616.000000	1.451900	4.109941	0.016211	0.000000	0.236630
617.000000	1.451673	4.093216	0.016270	0.000000	0.235025
618.000000	1.451446	4.076491	0.016328	0.000000	0.233419
619.000000	1.451223	4.059802	0.016387	0.000000	0.231814
620.000000	1.451000	4.043114	0.016446	0.000000	0.230208
621.000000	1.450793	4.026462	0.016541	0.000000	0.228751
622.000000	1.450585	4.009809	0.016636	0.000000	0.227293
623.000000	1.450393	3.993193	0.016734	0.000000	0.225836
624.000000	1.450200	3.976577	0.016831	0.000000	0.224379
625.000000	1.450019	3.958569	0.016845	0.000000	0.222921
626.000000	1.449838	3.940561	0.016860	0.000000	0.221464
627.000000	1.449669	3.922610	0.016874	0.000000	0.220007
628.000000	1.449500	3.904658	0.016888	0.000000	0.218549
629.000000	1.449344	3.886763	0.016910	0.000000	0.217092
630.000000	1.449187	3.868869	0.016931	0.000000	0.215635
631.000000	1.449044	3.851030	0.016953	0.000000	0.214268
632.000000	1.448900	3.833192	0.016974	0.000000	0.212901
633.000000	1.448769	3.815410	0.017179	0.000000	0.211535
634.000000	1.448638	3.797629	0.017384	0.000000	0.210168
635.000000	1.448519	3.781833	0.017598	0.000000	0.208801
636.000000	1.448400	3.766038	0.017813	0.000000	0.207435
637.000000	1.448293	3.750271	0.018109	0.000000	0.206068
638.000000	1.448185	3.734504	0.018404	0.000000	0.204701
639.000000	1.448093	3.718765	0.018720	0.000000	0.203335
640.000000	1.448000	3.703026	0.019036	0.000000	0.201968
641.000000	1.447923	3.687315	0.019372	0.000000	0.200669
642.000000	1.447846	3.671604	0.019709	0.000000	0.199370
643.000000	1.447773	3.655921	0.020071	0.000000	0.198071
644.000000	1.447700	3.640239	0.020434	0.000000	0.196773
645.000000	1.447622	3.624189	0.020846	0.000000	0.195474
646.000000	1.447544	3.608140	0.021259	0.000000	0.194175
647.000000	1.447472	3.592125	0.021710	0.000000	0.192876
648.000000	1.447400	3.576109	0.022160	0.000000	0.191577
649.000000	1.447346	3.560128	0.022572	0.000000	0.190278
650.000000	1.447291	3.544147	0.022984	0.000000	0.188979
651.000000	1.447246	3.528201	0.022984	0.000000	0.187756
652.000000	1.447200	3.512254	0.023433	0.000000	0.186533
653.000000	1.447152	3.496341	0.023881	0.000000	0.185311
654.000000	1.447105	3.480429	0.024480	0.000000	0.184088
655.000000	1.447053	3.462780	0.025079	0.000000	0.182865
656.000000	1.447000	3.445131	0.025757	0.000000	0.181642
657.000000	1.446945	3.427544	0.026435	0.000000	0.180419
658.000000	1.446889	3.409957	0.027371	0.000000	0.179196
659.000000	1.446845	3.392433	0.028307	0.000000	0.177973
660.000000	1.446800	3.374909	0.029442	0.000000	0.176750
661.000000	1.446775	3.357447	0.030576	0.000000	0.175481
662.000000	1.446750	3.339985	0.031059	0.000000	0.174211
663.000000	1.446725	3.322586	0.031542	0.000000	0.172942
664.000000	1.446700	3.305186	0.032074	0.000000	0.171672
665.000000	1.446655	3.289289	0.032607	0.000000	0.170403
666.000000	1.446611	3.273392	0.032914	0.000000	0.169133
667.000000	1.446555	3.257534	0.033220	0.000000	0.167863
668.000000	1.446500	3.241675	0.033545	0.000000	0.166594
669.000000	1.446447	3.225856	0.033869	0.000000	0.165324
670.000000	1.446395	3.210036	0.034300	0.000000	0.164055
671.000000	1.446347	3.194254	0.034730	0.000000	0.162692
672.000000	1.446300	3.178473	0.035196	0.000000	0.161330
673.000000	1.446256	3.162730	0.035663	0.000000	0.159968
674.000000	1.446211	3.146987	0.035717	0.000000	0.158605
675.000000	1.446156	3.130764	0.035771	0.000000	0.157243
676.000000	1.446100	3.114541	0.035827	0.000000	0.155881
677.000000	1.446024	3.098365	0.035883	0.000000	0.154518
678.000000	1.445948	3.082189	0.035264	0.000000	0.153156
679.000000	1.445874	3.066061	0.034645	0.000000	0.151794
680.000000	1.445800	3.049932	0.034086	0.000000	0.150432
681.000000	1.445749	3.033852	0.033527	0.000000	0.149093
682.000000	1.445698	3.017771	0.032496	0.000000	0.147755
683.000000	1.445649	3.001737	0.031465	0.000000	0.146417
684.000000	1.445600	2.985704	0.030595	0.000000	0.145078
685.000000	1.445530	2.967852	0.029725	0.000000	0.143740
686.000000	1.445461	2.949999	0.027956	0.000000	0.142402
687.000000	1.445380	2.932228	0.026187	0.000000	0.141064
688.000000	1.445300	2.914457	0.024870	0.000000	0.139725
689.000000	1.445224	2.896767	0.023554	0.000000	0.138387
690.000000	1.445148	2.879077	0.021700	0.000000	0.137049
691.000000	1.445074	2.861468	0.021700	0.000000	0.135797
692.000000	1.445000	2.843860	0.019845	0.000000	0.134545
693.000000	1.444925	2.826332	0.018517	0.000000	0.133294
694.000000	1.444849	2.808804	0.017190	0.000000	0.132042
695.000000	1.444775	2.790847	0.015537	0.000000	0.130790
696.000000	1.444700	2.772889	0.013883	0.000000	0.129539
697.000000	1.444628	2.755023	0.012711	0.000000	0.128287
698.000000	1.444555	2.737156	0.011538	0.000000	0.127035
699.000000	1.444478	2.719380	0.010577	0.000000	0.125784
700.000000	1.444400	2.701604	0.009616	0.000000	0.124532
701.000000	1.444309	2.683919	0.008868	0.000000	0.123410
702.000000	1.444217	2.666234	0.008120	0.000000	0.122287
703.000000	1.444109	2.648640	0.007501	0.000000	0.121164
704.000000	1.444000	2.631045	0.006881	0.000000	0.120042
705.000000	1.443875	2.613405	0.006373	0.000000	0.118919
706.000000	1.443751	2.595764	0.005864	0.000000	0.117797
707.000000	1.443625	2.578217	0.005471	0.000000	0.116674
708.000000	1.443500	2.560670	0.005079	0.000000	0.115552
709.000000	1.443384	2.543216	0.004740	0.005008	0.114429
710.000000	1.443268	2.525762	0.004402	0.010016	0.113306
711.000000	1.443134	2.521142	0.004128	0.009550	0.112212
712.000000	1.443000	2.516521	0.003854	0.009084	0.111118
713.000000	1.442827	2.511901	0.003610	0.008942	0.110024
714.000000	1.442653	2.507280	0.003367	0.008801	0.108929
715.000000	1.442477	2.500887	0.003126	0.008940	0.107835
716.000000	1.442300	2.494493	0.002885	0.009080	0.106741
717.000000	1.442153	2.488100	0.002672	0.009456	0.105647
718.000000	1.442006	2.481706	0.002459	0.009833	0.104552
719.000000	1.441853	2.475313	0.002296	0.010404	0.103458
720.000000	1.441700	2.468920	0.002134	0.010975	0.102364
721.000000	1.441504	2.462526	0.001985	0.011696	0.101345
722.000000	1.441309	2.456133	0.001837	0.012417	0.100327
723.000000	1.441104	2.449739	0.001698	0.013245	0.099308
724.000000	1.440900	2.443346	0.001558	0.014074	0.098290
725.000000	1.440724	2.438262	0.001430	0.014965	0.097272
726.000000	1.440547	2.433178	0.001302	0.015856	0.096253
727.000000	1.440374	2.428094	0.001205	0.016768	0.095235
728.000000	1.440200	2.423010	0.001107	0.017679	0.094216
729.000000	1.440002	2.417927	0.001016	0.018566	0.093198
730.000000	1.439803	2.412843	0.000925	0.019454	0.092179
731.000000	1.439602	2.407759	0.000849	0.020281	0.091201
732.000000	1.439400	2.402675	0.000849	0.021108	0.090222
733.000000	1.439221	2.397591	0.000772	0.021853	0.089244
734.000000	1.439041	2.392507	0.000700	0.022598	0.088265
735.000000	1.438871	2.388083	0.000628	0.023241	0.087287
736.000000	1.438700	2.383659	0.000576	0.023884	0.086308
737.000000	1.438522	2.379234	0.000523	0.024406	0.085330
738.000000	1.438344	2.374810	0.000473	0.024928	0.084351
739.000000	1.438172	2.370386	0.000422	0.025309	0.083373
740.000000	1.438000	2.365962	0.000388	0.025690	0.082394
741.000000	1.437847	2.361538	0.000353	0.025982	0.081548
742.000000	1.437694	2.357113	0.000320	0.026274	0.080701
743.000000	1.437547	2.352689	0.000286	0.026642	0.079854
744.000000	1.437400	2.348265	0.000251	0.027010	0.079008
745.000000	1.437246	2.343286	0.000215	0.027455	0.078161
746.000000	1.437092	2.338308	0.000183	0.027901	0.077315
747.000000	1.436946	2.333329	0.000151	0.028296	0.076468
748.000000	1.436800	2.328350	0.000138	0.028691	0.075622
749.000000	1.436676	2.323372	0.000125	0.028890	0.074775
750.000000	1.436551	2.318393	0.000114	0.029089	0.073928
751.000000	1.436426	2.313415	0.000103	0.029039	0.073188
752.000000	1.436300	2.308436	0.000092	0.028988	0.072448
753.000000	1.436152	2.303457	0.000082	0.028777	0.071707
754.000000	1.436004	2.298479	0.000073	0.028566	0.070967
755.000000	1.435852	2.296086	0.000064	0.028295	0.070227
756.000000	1.435700	2.293693	0.000056	0.028025	0.069486
757.000000	1.435567	2.290633	0.000047	0.027797	0.068746
758.000000	1.435434	2.287573	0.000041	0.027569	0.068006
759.000000	1.435317	2.284513	0.000034	0.027485	0.067265
760.000000	1.435200	2.281453	0.000028	0.027402	0.066525
761.000000	1.435093	2.278393	0.000022	0.027563	0.065856
762.000000	1.434986	2.275333	0.000017	0.027725	0.065186
763.000000	1.434893	2.272273	0.000012	0.028233	0.064517
764.000000	1.434800	2.269213	0.000009	0.028742	0.063847
765.000000	1.434724	2.266153	0.000005	0.029535	0.063178
766.000000	1.434648	2.263093	0.000003	0.030328	0.062508
767.000000	1.434574	2.260033	0.000000	0.030826	0.061838
768.000000	1.434500	2.256973	0.000000	0.031324	0.061169
769.000000	1.434418	2.253913	0.000000	0.031473	0.060499
770.000000	1.434336	2.250854	0.000000	0.031622	0.059830
771.000000	1.434268	2.247794	0.000000	0.031503	0.059131
772.000000	1.434200	2.244734	0.000000	0.031383	0.058433
